state,sector,week,MtCO2 per week
Anhui,Ground Transport,2022-10-03/2022-10-09,0.5480752
Anhui,Ground Transport,2022-10-10/2022-10-16,0.5332226
Anhui,Ground Transport,2022-10-17/2022-10-23,0.5563458
Anhui,Ground Transport,2022-10-24/2022-10-30,0.5499421
Anhui,Ground Transport,2022-10-31/2022-11-06,0.5460912
Anhui,Ground Transport,2022-11-07/2022-11-13,0.5580215
Anhui,Ground Transport,2022-11-14/2022-11-20,0.5669472
Anhui,Ground Transport,2022-11-21/2022-11-27,0.5446094
Anhui,Ground Transport,2022-11-28/2022-12-04,0.5120417
Anhui,Ground Transport,2022-12-05/2022-12-11,0.5249934
Anhui,Ground Transport,2022-12-12/2022-12-18,0.49287949999999997
Anhui,Ground Transport,2022-12-19/2022-12-25,0.4785106
Anhui,Ground Transport,2022-12-26/2023-01-01,0.4820102
Anhui,Ground Transport,2023-01-02/2023-01-08,0.5490155999999999
Anhui,Ground Transport,2023-01-09/2023-01-15,0.5575238
Anhui,Ground Transport,2023-01-16/2023-01-22,0.5264986
Anhui,Ground Transport,2023-01-23/2023-01-29,0.4808474
Anhui,Ground Transport,2023-01-30/2023-02-05,0.5554077
Anhui,Ground Transport,2023-02-06/2023-02-12,0.5721058
Anhui,Ground Transport,2023-02-13/2023-02-19,0.5623811
Anhui,Ground Transport,2023-02-20/2023-02-26,0.5598213
Anhui,Ground Transport,2023-02-27/2023-03-05,0.5584813
Anhui,Ground Transport,2023-03-06/2023-03-12,0.554705
Anhui,Ground Transport,2023-03-13/2023-03-19,0.5542761
Anhui,Ground Transport,2023-03-20/2023-03-26,0.5600782
Anhui,Ground Transport,2023-03-27/2023-04-02,0.5379508000000001
Anhui,Ground Transport,2023-04-03/2023-04-09,0.5414517
Anhui,Ground Transport,2023-04-10/2023-04-16,0.5369479
Anhui,Ground Transport,2023-04-17/2023-04-23,0.53483
Anhui,Ground Transport,2023-04-24/2023-04-30,0.5293227
Anhui,Ground Transport,2023-05-01/2023-05-07,0.5587427
Anhui,Ground Transport,2023-05-08/2023-05-14,0.5439617
Anhui,Ground Transport,2023-05-15/2023-05-21,0.5477442
